#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Pinus taeda	3352	PRJNA174450	174450	Plants	Land Plants	265.48	38.1	GCA_000404065.1	-	-	-	APFE01	-	-	-	2013/05/31	2013/09/12	Scaffolds or contigs	UC Davis	-
Nosema bombycis CQ1	578461	PRJNA30919	30919	Fungi	Other Fungi	15.6898	30.8	GCA_000383075.1	-	-	-	ACJZ01	1607	4468	4468	2013/04/10	2013/04/30	Scaffolds or contigs	The Institute of Sericulture and Systems Biology (ISSB) of Southwest University (SWU)	-
Millettia pinnata	56065	PRJNA85127	85127	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	The University of Queensland	-
Tremella mesenterica ATCC28783	1342245	PRJNA207298	207298	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Tremella mesenterica DSM 1558	578456	PRJNA32829	32829	Fungi	Basidiomycetes	28.6399	46.7	GCA_000271645.1	-	-	-	AFVY01	45	8309	8308	2012/06/21	2014/03/01	Scaffolds or contigs	DOE Joint Genome Institute	-
Acremonium alcalophilum JCM 7366	591952	PRJNA33785	33785	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	DOE Joint Genome Institute	-
Vigna angularis var. angularis	157739	PRJNA210126	210126	Plants	Land Plants	291.824	33	GCA_000465365.1	-	-	-	AUGG01	14501	-	-	2013/09/06	2013/09/16	Scaffolds or contigs	Seoul National University	-
Aquilegia coerulea	218851	PRJNA33681	33681	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JGI	-
Babesia equi	5872	PRJNA38023	38023	Protists	Apicomplexans	11.6745	-	GCA_000342415.1	2	-	-	ACOU01	12	-	-	2012/12/06	2012/12/11	Chromosomes	J. Craig Venter Institute	-
Claviceps purpurea 20.1	1111077	PRJEA76493	76493	Fungi	Ascomycetes	32.0914	51.6	GCA_000347355.1	-	-	-	CAGA01	191	8979	8823	2012/07/31	2013/04/15	Scaffolds or contigs	Institute of Bioinformatics and Systems Biology, Helmholtz Zentrum Muenchen	-
Fusarium circinata FSP 34	1076874	PRJNA41113	41113	Fungi	Ascomycetes	44.138	47.3	GCA_000497325.1	-	-	-	AYJV01	-	-	-	2013/11/18	2013/11/18	Scaffolds or contigs	Pitch canker sequencing project	SAMN02371877
Mortierella alpina ATCC 32222	685557	PRJNA41211	41211	Fungi	Other Fungi	38.0421	51.8	GCA_000240685.2	-	-	-	ADAG01	1099	-	-	2011/12/29	2011/12/29	Scaffolds or contigs	School of Food Science and Technology, Jiangnan University, P.R. China	-
Mortierella alpina B6842	1357686	PRJNA211911	211911	Fungi	Other Fungi	39.5299	50.4	GCA_000507065.1	-	-	-	AZCI01	1183	-	-	2013/12/12	2013/12/12	Scaffolds or contigs	IGS	-
Ganoderma lucidum G.260125-1	1077286	PRJNA71455	71455	Fungi	Basidiomycetes	43.2926	56.2	GCA_000271565.1	-	-	-	AGAX01	82	-	-	2012/06/21	2012/06/21	Scaffolds or contigs	The Institute of Medicinal Plant Development	-
Ganoderma lucidum Xiangnong No.1	1127707	PRJNA77007	77007	Fungi	Basidiomycetes	39.9458	55.6	GCA_000262775.1	-	-	-	AHGX01	634	-	-	2012/05/14	2012/05/16	Scaffolds or contigs	Huazhong University of Science and Technology	-
Dendroctonus ponderosae	77166	PRJNA162621	162621	Animals	Insects	252.848	35.9	GCA_000355655.1	-	-	-	APGK01	8188	13088	13457	2013/03/15	2013/04/10	Scaffolds or contigs	The Tria Project: Mountain Pine Beetle System Genomics	SAMN01121785
Dendroctonus ponderosae	77166	PRJNA179493	179493	Animals	Insects	261.334	36.2	GCA_000346045.1	-	-	-	APGL01	6520	729	733	2013/03/07	2013/09/27	Scaffolds or contigs	BC Cancer Agency, Canada's Michael Smith Genome Sciences Centre	SRS359045
Reticulomyxa filosa	46433	PRJNA29155	29155	Protists	Other Protists	101.867	35	GCA_000512085.1	-	-	-	ASPP01	-	39965	39963	2013/12/30	2013/12/30	Scaffolds or contigs	Leibniz Institute for Age Reseaerch Fritz Lipmann Institute	-
Serinus canaria	9135	PRJEB1766	233592	Animals	Birds	1152.08	42.5	GCA_000534875.1	-	1	-	CAVT01	304399	-	-	2014/01/06	2014/01/06	Chromosomes	MPI MOLGEN	-
Picea glauca	3330	PRJNA83435	83435	Plants	Land Plants	23563.7	-	GCA_000411955.2	-	-	-	ALWZ02	4870253	-	-	2013/05/17	2013/06/14	Scaffolds or contigs	The SMarTForests Project	-
Pythium ultimum DAOM BR144	431595	PRJNA36503	36503	Protists	Other Protists	44.9135	52.3	GCA_000143045.1	-	-	-	ADOS01	975	-	-	2010/06/18	2010/06/25	Scaffolds or contigs	Michigan State University	-
Pythium ultimum var. sporangiiferum BR650	1223559	PRJNA169055	169055	Protists	Other Protists	37.6314	52	GCA_000387525.2	-	-	-	AKYB02	5482	-	-	2013/05/02	2013/10/24	Scaffolds or contigs	Michigan State University	-
Rotylenchulus reniformis	239373	PRJNA73665	73665	Animals	Roundworms	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Alabama A&M University	-
Stomoxys calcitrans	35570	PRJNA188117	188117	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Glossina Genomes Consortium	-
Solanum pimpinellifolium	4084	PRJNA72351	72351	Plants	Land Plants	688.247	33.8	GCA_000230315.1	-	-	-	AGFK01	-	-	-	2011/10/06	2011/10/06	Scaffolds or contigs	Sol Genomics Network	-
Oryza granulata	110450	PRJNA13788	13788	Plants	Land Plants	35.2457	46.1	GCA_000325645.2	-	-	-	ALNT01	1	-	-	2012/10/17	2013/02/12	Scaffolds or contigs	The Oryza Map Alignment Project (OMAP)	-
Colletotrichum higginsianum	759273	PRJNA47061	47061	Fungi	Ascomycetes	49.0849	-	GCA_000313795.2	-	-	-	CACQ02	-	16596	16141	2011/02/15	2012/01/20	Scaffolds or contigs	Max Planck Institute for Plant Breeding Research	-
Citrus clementina	85681	PRJNA225835	225835	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	DOE-Joint Genome Institute	-
Citrus clementina	85681	PRJNA223006	223006	Plants	Land Plants	301.365	35	GCA_000493195.1	-	-	-	AMZM01	1398	25000	34557	2013/10/30	2013/11/08	Scaffolds or contigs	International Citrus Genome Consortium	-
Oryza glumipatula	40148	PRJNA48429	48429	Plants	Land Plants	372.86	43.7266	GCA_000576495.1	12	-	-	ALNU02	12	-	-	2013/02/06	2014/02/21	Chromosomes	Oryza Map Alignment Project (OMAP)	-
Oryza meridionalis	40149	PRJNA48433	48433	Plants	Land Plants	335.668	44.1725	GCA_000338895.2	12	-	-	ALNW02	12	-	-	2012/10/17	2014/02/27	Chromosomes	Oryza Map Alignment Project (OMAP)	-
Peromyscus maniculatus bairdii	230844	PRJNA53563	53563	Animals	Mammals	2630.54	42.3	GCA_000500345.1	-	-	-	AYHN01	30921	-	-	2013/11/26	2013/12/03	Scaffolds or contigs	Baylor College of Medicine	SAMN00848614
Peromyscus leucopus	10041	PRJNA53591	53591	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Baylor College of Medicine	-
Peromyscus polionotus	42413	PRJNA53593	53593	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Baylor College of Medicine	-
Peromyscus californicus insignis	564181	PRJNA53595	53595	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Baylor College of Medicine	-
Encephalitozoon hellem ATCC 50504	907965	PRJNA53973	53973	Fungi	Other Fungi	2.25178	43.4422	GCA_000277815.3	10	-	-	-	12	1707	1646	2012/06/28	2012/08/22	Chromosomes	University of British Columbia	-
Ophiocordyceps sinensis CO18	911162	PRJNA59569	59569	Fungi	Ascomycetes	78.5158	46.2	GCA_000448365.1	-	-	-	ANOV01	10603	6972	6972	2013/08/20	2013/08/20	Scaffolds or contigs	Shanghai Institutes for Biological Sciences	-
Eremothecium cymbalariae DBVPG#7215	931890	PRJNA60715	60715	Fungi	Ascomycetes	9.66942	40.3222	GCA_000235365.1	8	-	-	-	8	4853	4434	2011/11/14	2011/12/19	Chromosomes	Carlsberg Laboratory	-
Penicillium oxalicum 114-2	933388	PRJNA60877	60877	Fungi	Ascomycetes	30.1774	50.7	GCA_000346795.1	-	-	-	AGIH01	9	10013	9979	2013/03/15	2013/07/22	Scaffolds or contigs	State Key Laboratory of Microbial Technology, Shandong University	-
Sebastes rubrivinctus	72099	PRJNA62009	62009	Animals	Fishes	756.297	40.7	GCA_000475215.1	-	-	-	AUPQ01	68206	-	-	2013/10/18	2013/10/22	Scaffolds or contigs	University of Southern California	-
Leptosphaeria maculans JN3	985895	PRJNA63129	63129	Fungi	Ascomycetes	45.1246	45.3	GCA_000230375.1	-	-	-	Unplaced	76	12469	12469	-	-	Scaffolds or contigs	Genoscope	-
Edhazardia aedis USNM 41457	1003232	PRJNA65125	65125	Fungi	Other Fungi	50.7488	-	GCA_000230595.2	-	-	-	AFBI02	2379	4281	4209	2011/10/14	2012/08/27	Scaffolds or contigs	Broad Institute	-
Pyronema omphalodes CBS 100304	1076935	PRJNA65573	65573	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Department of General and Molecular Botany, Ruhr-University Bochum	-
Ceratocystis fimbriata CBS 114723	1035309	PRJNA67151	67151	Fungi	Ascomycetes	23.5898	48.4	GCA_000389695.2	-	-	-	APWK02	1185	-	-	2013/05/06	2013/11/19	Scaffolds or contigs	Forestry and Agricultural Biotechnology Institute (FABI)	SAMN01985854
Anopheles arabiensis	7173	PRJNA67207	67207	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176968	176968	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176969	176969	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176970	176970	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176971	176971	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176972	176972	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176973	176973	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176974	176974	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176975	176975	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176976	176976	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176977	176977	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176978	176978	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA176979	176979	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles arabiensis	7173	PRJNA191565	191565	Animals	Insects	246.568	44.7	GCA_000349185.1	-	-	-	APCN01	1214	-	-	2013/03/25	2013/04/02	Scaffolds or contigs	Broad Institute	-
Anopheles arabiensis	7173	PRJNA227456	227456	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UC Davis	-
Anopheles quadriannulatus	34691	PRJNA67209	67209	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA176998	176998	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA176999	176999	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA177000	177000	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA177001	177001	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA177002	177002	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA177003	177003	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA177004	177004	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA177005	177005	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA177006	177006	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA177007	177007	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles quadriannulatus	34691	PRJNA191558	191558	Animals	Insects	283.829	44.8	GCA_000349065.1	-	-	-	APCH01	2823	-	-	2013/03/25	2013/03/28	Scaffolds or contigs	Broad Institute	-
Anopheles epiroticus	199890	PRJNA67211	67211	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles epiroticus	199890	PRJNA191562	191562	Animals	Insects	223.487	44	GCA_000349105.1	-	-	-	APCJ01	2673	-	-	2013/03/25	2013/11/01	Scaffolds or contigs	Broad Institute	SAMN01087920
Anopheles christyi	43041	PRJNA67213	67213	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles christyi	43041	PRJNA191564	191564	Animals	Insects	172.659	42.7	GCA_000349165.1	-	-	-	APCM01	30369	-	-	2013/03/25	2013/04/02	Scaffolds or contigs	Broad Institute	-
Anopheles merus	30066	PRJNA67215	67215	Animals	Insects	288.049	44.6	GCA_000473845.2	-	-	-	AXCQ02	2027	-	-	2013/09/30	2014/01/17	Scaffolds or contigs	Broad Institute	SAMN02298837
Anopheles merus	30066	PRJNA176988	176988	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176989	176989	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176990	176990	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176991	176991	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176992	176992	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176993	176993	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176994	176994	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176995	176995	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176996	176996	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles merus	30066	PRJNA176997	176997	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA67217	67217	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA163117	163117	Animals	Insects	224.162	44.8	GCA_000473525.2	-	-	-	AXCO02	20229	-	-	2013/09/30	2014/01/17	Scaffolds or contigs	Broad Institute	-
Anopheles melas	34690	PRJNA176980	176980	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA176981	176981	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA176982	176982	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA176983	176983	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA176984	176984	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA176985	176985	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA176986	176986	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles melas	34690	PRJNA176987	176987	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles maculatus	74869	PRJNA67221	67221	Animals	Insects	141.894	44.2	GCA_000473185.1	-	-	-	AXCL01	47797	-	-	2013/09/30	2013/09/30	Scaffolds or contigs	Broad Institute	SAMN01087922
Anopheles maculatus	74869	PRJNA214004	214004	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles minimus	112268	PRJNA67225	67225	Animals	Insects	201.793	42.7	GCA_000349025.1	-	-	-	APHL01	678	-	-	2013/03/25	2013/03/28	Scaffolds or contigs	Broad Institute	-
Anopheles culicifacies	139723	PRJNA163119	163119	Animals	Insects	202.999	42.7	GCA_000473375.1	-	-	-	AXCM01	16162	-	-	2013/09/30	2013/09/30	Scaffolds or contigs	Broad Institute	-
Anopheles culicifacies	139723	PRJNA177012	177012	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles culicifacies	139723	PRJNA177013	177013	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles culicifacies	139723	PRJNA177014	177014	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles culicifacies	139723	PRJNA177015	177015	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles farauti	69004	PRJNA67229	67229	Animals	Insects	183.103	44.7	GCA_000473445.2	-	-	-	AXCN02	310	-	-	2013/09/30	2014/01/17	Scaffolds or contigs	Broad Institute	-
Anopheles dirus	7168	PRJNA67231	67231	Animals	Insects	216.308	46.2	GCA_000349145.1	-	-	-	APCL01	1266	-	-	2013/03/25	2013/03/28	Scaffolds or contigs	Broad Institute	-
Anopheles atroparvus	41427	PRJNA67233	67233	Animals	Insects	224.29	46.4	GCA_000473505.1	-	-	-	AXCP01	1371	-	-	2013/09/30	2013/09/30	Scaffolds or contigs	Broad Institute	SAMN01087926
Anopheles albimanus	7167	PRJNA67235	67235	Animals	Insects	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Anopheles albimanus	7167	PRJNA191561	191561	Animals	Insects	170.508	49.2	GCA_000349125.1	-	-	-	APCK01	204	-	-	2013/03/25	2013/03/28	Scaffolds or contigs	Broad Institute	-
Sesamum indicum	4182	PRJNA186669	186669	Plants	Land Plants	274.906	34.9223	GCA_000512975.1	16	-	-	APMJ01	16368	-	-	2013/12/24	2014/01/06	Chromosomes	Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences	-
Sesamum indicum	4182	PRJNA214453	214453	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	HSRC	-
Plutella xylostella	51655	PRJNA78271	78271	Animals	Insects	393.455	38.3	GCA_000330985.1	-	-	-	AHIO01	1793	-	-	2013/01/03	2013/05/23	Scaffolds or contigs	Plutella xylostella genome consortium	-
Plutella xylostella	51655	PRJDB194	181111	Animals	Insects	186.028	38.3	GCA_000325945.1	-	-	-	BAGR01	-	-	-	2012/11/16	2013/07/11	Scaffolds or contigs	National Institute of Agrobiological Sciences	-
Rhizoctonia solani AG-1 IA	983506	PRJNA51401	51401	Fungi	Basidiomycetes	36.9381	47.6	GCA_000334115.1	-	-	-	AFRT01	2648	-	10489	2013/01/28	2013/01/28	Scaffolds or contigs	Rice Research Institute of Sichuan Agricultural University	-
Rhizoctonia solani AG-3 Rhs1AP	1086054	PRJNA73133	73133	Fungi	Basidiomycetes	51.7059	48.4	GCA_000524645.1	-	-	-	JATN01	326	12738	12726	2014/01/30	2014/01/30	Scaffolds or contigs	JCVI	-
Rhizoctonia solani AG-1 IB	1108050	PRJEB40	170144	Fungi	Basidiomycetes	48.5109	48.0441	GCA_000350255.1	-	1	-	CAOJ01	-	12459	12268	2013/03/19	2013/03/19	Scaffolds or contigs	CEBITEC	-
Cannabis sativa	3483	PRJNA73819	73819	Plants	Land Plants	757.439	34.8	GCA_000230575.1	-	-	-	AGQN01	135164	-	-	2011/10/13	2011/11/10	Scaffolds or contigs	University of Toronto	-
Nannochloropsis gaditana	72520	PRJNA170989	170989	Protists	Other Protists	27.5893	54.7713	GCA_000569095.1	21	4	-	AZIL01	684	186	10929	2012/12/15	2012/12/31	Chromosomes	CRIBI Genomics University of Padova	SAMN02440168
Nannochloropsis gaditana CCMP526	1093141	PRJNA73791	73791	Protists	Other Protists	33.987	54.3	GCA_000240725.1	-	-	-	AGNI01	1883	3558	3554	2011/12/30	2012/11/20	Scaffolds or contigs	Colorado School of Mines	-
Entamoeba nuttalli P19	1076696	PRJNA72167	72167	Protists	Other Protists	14.4	25	GCA_000257125.1	-	-	-	AGBL01	5233	6193	6187	2012/03/29	2012/09/27	Scaffolds or contigs	J. Craig Venter Institute	-
Babesia microti	5868	PRJNA157385	157385	Protists	Apicomplexans	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IGS	-
Babesia microti	5868	PRJNA157387	157387	Protists	Apicomplexans	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IGS	-
Babesia microti	5868	PRJNA157389	157389	Protists	Apicomplexans	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IGS	-
Babesia microti	5868	PRJNA157391	157391	Protists	Apicomplexans	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IGS	-
Babesia microti	5868	PRJNA157393	157393	Protists	Apicomplexans	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IGS	-
Babesia microti	5868	PRJNA157395	157395	Protists	Apicomplexans	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IGS	-
Danaus plexippus	13037	PRJNA72423	72423	Animals	Insects	272.853	31.7	GCA_000235995.1	-	-	-	AGBW01	13318	-	16254	2011/11/21	2012/05/09	Scaffolds or contigs	The Reppert Lab	-
Eptesicus fuscus	29078	PRJNA72449	72449	Animals	Mammals	2026.63	42.9	GCA_000308155.1	-	-	-	ALEH01	6789	-	-	2012/07/30	2013/11/01	Scaffolds or contigs	Broad Institute	SAMN00767986
Glarea lozoyensis 74030	1104152	PRJNA74639	74639	Fungi	Ascomycetes	38.7183	46.1	GCA_000238015.2	-	1	-	AGUE01	581	8350	7904	2011/12/14	2012/03/19	Scaffolds or contigs	Institute of Pharmaceutical Sciences	-
Eutrema salsugineum	72664	PRJNA73205	73205	Plants	Land Plants	243.11	37.7	GCA_000478725.1	-	-	-	ANOA01	638	26528	29485	2013/10/22	2013/11/05	Scaffolds or contigs	Joint Genome Institute	-
Phytophthora parasitica INRA-310	761204	PRJNA73155	73155	Protists	Other Protists	82.3892	49.5	GCA_000247585.2	-	-	-	AGFV02	708	23240	27942	2012/02/13	2013/12/19	Scaffolds or contigs	Broad Institute	-
Phytophthora parasitica CJ01A1	1317063	PRJNA181330	181330	Protists	Other Protists	54.2899	49.6	GCA_000365545.1	-	-	-	ANIX01	-	23159	28065	2013/04/16	2014/01/03	Scaffolds or contigs	Broad Institute	-
Phytophthora parasitica P10297	1317064	PRJNA181331	181331	Protists	Other Protists	54.5743	49.6	GCA_000367145.1	-	-	-	ANIY01	-	23230	27956	2013/04/16	2014/01/03	Scaffolds or contigs	Broad Institute	-
Phytophthora parasitica P1569	1317065	PRJNA181332	181332	Protists	Other Protists	55.2296	49.6	GCA_000365505.1	-	-	-	ANIZ01	-	23269	28117	2013/04/16	2013/12/14	Scaffolds or contigs	Broad Institute	-
Phytophthora parasitica P1976	1317066	PRJNA181333	181333	Protists	Other Protists	54.8843	49.6	GCA_000365525.1	-	-	-	ANJA01	-	23246	28082	2013/04/16	2013/12/31	Scaffolds or contigs	Broad Institute	-
Phytophthora parasitica	4792	PRJNA205153	205153	Protists	Other Protists	47.7167	49.6	GCA_000509525.1	-	-	-	AVGE01	6791	21852	26648	2013/12/16	2013/12/18	Scaffolds or contigs	Broad Institute	-
Phytophthora parasitica	4792	PRJNA205154	205154	Protists	Other Protists	48.0752	49.6	GCA_000509465.1	-	-	-	AVGB01	6489	22051	26824	2013/12/16	2013/12/18	Scaffolds or contigs	Broad Institute	-
Phytophthora parasitica	4792	PRJNA205155	205155	Protists	Other Protists	47.4491	49.6	GCA_000509485.1	-	-	-	AVGC01	6813	21865	26676	2013/12/16	2013/12/18	Scaffolds or contigs	Broad Institute	-
Phytophthora parasitica	4792	PRJNA205156	205156	Protists	Other Protists	47.8094	49.6	GCA_000509505.1	-	-	-	AVGD01	6724	21749	26512	2013/12/16	2013/12/18	Scaffolds or contigs	Broad Institute	-
Tolypocladium inflatum NRRL8044	1086729	PRJNA73163	73163	Fungi	Ascomycetes	30.2177	58	GCA_000421905.1	-	-	-	AOHE01	194	-	-	2013/07/10	2013/07/10	Scaffolds or contigs	Oregon State University	-
Spraguea lophii 42_110	1358809	PRJNA73605	73605	Fungi	Other Fungi	4.98088	23.4	GCA_000430065.1	-	-	-	ATCN01	1392	2596	2499	2013/07/16	2013/09/12	Scaffolds or contigs	University of Exeter	SAMN02141961
Cynoglossus semilaevis	244447	PRJNA73987	73987	Animals	Fishes	470.183	41.0442	GCA_000523025.1	22	-	-	AGRG01	31180	-	-	2014/01/24	2014/01/28	Chromosomes	Beijing Genomics Institute 	SAMN02595200
Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7	1095631	PRJNA73971	73971	Fungi	Ascomycetes	23.3715	39	GCA_000326105.1	-	-	1	AGVY01	419	264	238	2011/12/23	2011/12/23	Scaffolds or contigs	The Australian Wine Research Institute	-
Bursaphelenchus xylophilus	6326	PRJEA64437	64437	Animals	Roundworms	73.0857	40.4	GCA_000231135.1	-	-	-	CADV01	-	-	-	2011/09/28	2011/09/28	Scaffolds or contigs	Wellcome Trust Sanger insititute	-
Priacma serrata	50550	PRJNA74387	74387	Animals	Insects	12.0783	35.9	GCA_000281835.1	-	-	-	AGRH01	2934	-	-	2012/07/27	2012/07/27	Scaffolds or contigs	University of Memphis	-
